Year,Month,Day,AverageDailyPrecipitation[mm/d],AverageDailyStreamflow[m^3/s],AverageDailyTemperature[°C]
1990,1,1,0.00040166,8.66739639,-2.42065
1990,1,2,0.0199105,5.1425622,-1.94459
1990,1,3,0,3.556002885,-0.199508
1990,1,4,0.0112744,3.216111892,-2.41443
1990,1,5,0,3.244986099,-1.64528
1990,1,6,0.11085,3.339821173,-1.9356
1990,1,7,0.00184627,3.432225452,-0.700908
1990,1,8,0.000641296,3.512316732,-0.268689
1990,1,9,0.00040166,3.579322613,-1.41878
1990,1,10,0.00496311,3.637059669,-2.00894
1990,1,11,0.00112397,3.686800091,-1.38178
1990,1,12,0.000961944,3.732167355,-2.20865
1990,1,13,0.000320648,3.774831211,-2.00026
1990,1,14,0.494511,3.812497171,-2.01557
1990,1,15,0.623935,3.845903561,-1.27182
1990,1,16,0.0922063,3.900187526,2.86712
1990,1,17,0.677654,4.005097903,2.51545
1990,1,18,0.398471,4.044126926,0.174863
1990,1,19,0.00040166,4.006120199,-1.9841
1990,1,20,0.00614,3.994363785,0.348649
1990,1,21,0,3.992807622,1.92121
1990,1,22,0.00375813,4.006824448,0.2524
1990,1,23,9.02934,4.258877422,2.1247
1990,1,24,10.9228,6.885089941,4.37861
1990,1,25,21.8896,24.10405648,5.61418
1990,1,26,4.4439,47.92277855,1.10234
1990,1,27,0.427142,48.12757869,2.64845
1990,1,28,26.5086,54.33519249,2.65391
1990,1,29,0.118929,60.91242341,-1.83509
1990,1,30,0.216026,64.5248798,2.20596
1990,1,31,0.12523,56.10683298,3.44114
1990,2,1,4.09442,42.4650763,3.85134
1990,2,2,8.94639,34.67880895,3.22457
1990,2,3,4.4111,34.91859436,4.4024
1990,2,4,0,34.93722288,2.41228
1990,2,5,0,29.85901995,3.43188
1990,2,6,0.963015,22.71373273,4.65349
1990,2,7,0.00245405,17.48672881,6.47748
1990,2,8,1.22778,13.8973309,7.53379
1990,2,9,0.00369054,10.91657446,1.69258
1990,2,10,13.5263,10.01012654,1.57772
