[1, 1] 8.07968633762454 2.559382495981653 18.109409142713723
[1, 2] 7.596380413203496 2.4255184728312034 16.31128681396823
[1, 3] 7.524007902207157 2.347842822130858 16.139271197364263
[1, 4] 7.434717833806001 2.318258718015821 15.953137721933183
[2, 1] 6.4896118437097865 1.9599270705894654 14.091830608406012
[2, 2] 6.589276744529204 1.9694322225957004 14.35873386663294
[2, 3] 6.465322626586555 1.92307920594782 14.095062048180074
[2, 4] 6.450047627228895 1.9319497768114409 14.136344817564943
[3, 1] 6.491691677652773 1.963475903200039 14.141467374732873
[3, 2] 6.5946849199477455 1.9700259653541783 14.417893420246886
[3, 3] 6.497968666068351 1.9286877888867058 14.145085645552653
[3, 4] 6.486893841964627 1.939877152029959 14.178760507271857
[4, 1] 6.48839886837394 1.9756712003830985 14.085358013111225
